reg;name;url;status;dest
0152300011926001171;Прил. № 1-10 к обоснованию НМЦК.xlsx;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB5BB097A5AA8A604CFC64E36E1;2.9 МБ;data\raw\Прил. № 1-10 к обоснованию НМЦК.xlsx
0152300011926001171;Прил. № 1-10 к обоснованию НМЦК.xlsx_Маркелова Мария Сергеевна.sig;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB5BB097A5AA8A604CFC64E36E1;2.9 МБ;data\downloads\other\Прил. № 1-10 к обоснованию НМЦК.xlsx_Маркелова Мария Сергеевна.sig
0152300011926001171;Прил. № 1-10 к обоснованию НМЦК.xlsx.pdf;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB5BB097A5AA8A604CFC64E36E1;2.9 МБ;data\raw_pdf\Прил. № 1-10 к обоснованию НМЦК.xlsx.pdf
0152300011926001171;Обоснование НМЦК.xlsx;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB5F99470D5819B5BB25ACE1B32;0.1 МБ;data\raw\Обоснование НМЦК.xlsx
0152300011926001171;Обоснование НМЦК.xlsx_Маркелова Мария Сергеевна.sig;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB5F99470D5819B5BB25ACE1B32;0.1 МБ;data\downloads\other\Обоснование НМЦК.xlsx_Маркелова Мария Сергеевна.sig
0152300011926001171;Обоснование НМЦК.xlsx.pdf;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB5F99470D5819B5BB25ACE1B32;0.1 МБ;data\raw_pdf\Обоснование НМЦК.xlsx.pdf
0152300011926001171;Проект контракта.docx;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB4FA1C701E808B2DFB0236623E;0.3 МБ;data\downloads\other\Проект контракта.docx
0152300011926001171;Проект контракта.docx_Маркелова Мария Сергеевна.sig;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB4FA1C701E808B2DFB0236623E;0.3 МБ;data\downloads\other\Проект контракта.docx_Маркелова Мария Сергеевна.sig
0152300011926001171;Проект контракта.docx.pdf;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB4FA1C701E808B2DFB0236623E;0.3 МБ;data\raw_pdf\Проект контракта.docx.pdf
0152300011926001171;Прил. №№ 3-12 к Контракту.xlsx;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB53D7476939A920373FFD610C1;0.9 МБ;data\raw\Прил. №№ 3-12 к Контракту.xlsx
0152300011926001171;Прил. №№ 3-12 к Контракту.xlsx_Маркелова Мария Сергеевна.sig;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB53D7476939A920373FFD610C1;0.9 МБ;data\downloads\other\Прил. №№ 3-12 к Контракту.xlsx_Маркелова Мария Сергеевна.sig
0152300011926001171;Прил. №№ 3-12 к Контракту.xlsx.pdf;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB53D7476939A920373FFD610C1;0.9 МБ;data\raw_pdf\Прил. №№ 3-12 к Контракту.xlsx.pdf
0152300011926001171;Описание объекта закупки.docx;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB61A887A13AA88140053F46DC1;0.1 МБ;data\downloads\other\Описание объекта закупки.docx
0152300011926001171;Описание объекта закупки.docx_Маркелова Мария Сергеевна.sig;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB61A887A13AA88140053F46DC1;0.1 МБ;data\downloads\other\Описание объекта закупки.docx_Маркелова Мария Сергеевна.sig
0152300011926001171;Описание объекта закупки.docx.pdf;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB61A887A13AA88140053F46DC1;0.1 МБ;data\raw_pdf\Описание объекта закупки.docx.pdf
0152300011926001171;Требования к содержанию, составу заявки.docx;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB63A937A6287E9A9C540CB0818;0.1 МБ;data\downloads\other\Требования к содержанию, составу заявки.docx
0152300011926001171;Требования к содержанию, составу заявки.docx_Маркелова Мария Сергеевна.sig;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB63A937A6287E9A9C540CB0818;0.1 МБ;data\downloads\other\Требования к содержанию, составу заявки.docx_Маркелова Мария Сергеевна.sig
0152300011926001171;Требования к содержанию, составу заявки.docx.pdf;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB63A937A6287E9A9C540CB0818;0.1 МБ;data\raw_pdf\Требования к содержанию, составу заявки.docx.pdf
0152300011926001171;019FFAB5010A_Проект сметы контракта.docx;https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=019FFAB5010A7D179DFB4A04E6CB5533;0.0 МБ;data\downloads\other\019FFAB5010A_Проект сметы контракта.docx
