score;reg;law;stage;price;name;customer;okpd;card;search
90;0152300011926001171;44-ФЗ;Закупка завершена;61923151.99;"Выполнение работ по капитальному ремонту объекта: ""Капитальный ремонт здания БОУ г. Омска «Средняя общеобразовательная школа №119», расположенного по адресу: г. Омск, ул. Талалихина, д. 29А"" (Реестровый номер 33.1182.26)";ДЕПАРТАМЕНТ СТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ОМСКА;;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0152300011926001171;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0152300011926001171
80;32616253908;223-ФЗ;Работа комиссии;300635303.3;Конкурс в электронной форме, на право заключения договора по лоту: ОКПД2 42.11.20 Выполнение комплекса первоочередных строительно-монтажных работ по устройству автомобильной дороги к карьеру Иурское-5 в рамках реализации проекта «Строительство Нижне-Зейской ГЭС» (Лот № 0330-КС ДОХ-2026-УСГС);"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""";42.11.20;https://zakupki.gov.ru/223/purchase/public/purchase/info/documents.html?regNumber=32616253908;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=32616253908
80;32616316619;223-ФЗ;Подача заявок;26957120.0;СМР по реконструкции инженерных сетей и сооружений под автодорогой;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРАСНОЯРСКАЯ СЕТЕВАЯ КОМПАНИЯ""";43.22.11.110;https://zakupki.gov.ru/223/purchase/public/purchase/info/documents.html?regNumber=32616316619;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=32616316619
75;0322100024526000105;44-ФЗ;Закупка завершена;834308778.0;Ремонт автомобильной дороги Р-297 «Амур» Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск на участке км 2014+189 - км 2030+447, Еврейская автономная область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""МЕЖРЕГИОНАЛЬНАЯ ДИРЕКЦИЯ ПО ДОРОЖНОМУ СТРОИТЕЛЬСТВУ В ДАЛЬНЕВОСТОЧНОМ РЕГИОНЕ РОССИИ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0322100024526000105;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0322100024526000105
75;0351100008926000154;44-ФЗ;Закупка завершена;327700090.0;Выполнение работ по ремонту автомобильной дороги А-321 Барнаул - Павловск - граница с Республикой Казахстан на участке км 132+000 - км 142+250, Алтайский край;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""СИБИРЬ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0351100008926000154;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0351100008926000154
75;0351100008926000156;44-ФЗ;Закупка завершена;303722040.0;Выполнение работ по ремонту автомобильной дороги А-321 Барнаул - Павловск - граница с Республикой Казахстан на участке км 201+000 - км 210+500, Алтайский край;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""СИБИРЬ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0351100008926000156;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0351100008926000156
75;0351100008926000153;44-ФЗ;Закупка завершена;234727632.0;"Выполнение работ по устройству защитных слоев на автомобильной дороге Р-257 ""Енисей"" Красноярск - Абакан - Кызыл - Чадан - Хандагайты - граница с Монголией на участке км 257+000 - км 268+000, Республика Хакасия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""СИБИРЬ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0351100008926000153;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0351100008926000153
75;0339300000126000536;44-ФЗ;Закупка завершена;220000000.0;Выполнение работ по содержанию автомобильных дорог общего пользования местного значения города Кемерово (устранение деформаций и повреждений покрытий, ликвидация колей глубиной до 50 мм);управление дорожного хозяйства и благоустройства администрации города Кемерово;;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0339300000126000536;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0339300000126000536
75;0351100008926000152;44-ФЗ;Закупка завершена;189142028.0;"Выполнение работ по устройству защитных слоев на автомобильной дороге Р-257 ""Енисей"" Красноярск - Абакан - Кызыл - Чадан - Хандагайты - граница с Монголией на участке км 283+000 - км 292+000, Республика Хакасия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""СИБИРЬ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0351100008926000152;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0351100008926000152
75;0334100007526000084;44-ФЗ;Закупка завершена;76103603.0;Ремонт моста через р. Хулугайма на км 201+550 автомобильной дороги А-333 Култук – Монды - граница с Монголией, Республика Бурятия.;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ КРАСНОЯРСК - ИРКУТСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;https://zakupki.gov.ru/epz/order/notice/ea44/view/documents.html?regNumber=0334100007526000084;https://zakupki.gov.ru/epz/order/quicksearch/search.html?searchString=0334100007526000084
